Algorithm,City One,City Two,Average Time,Path Length
breadth_first_search,Urziceni,Craiova,4.732999877887778e-05,4
depth_first_search,Urziceni,Craiova,1.0670001938706263e-05,4
uniform_cost_search,Urziceni,Craiova,2.164999968954362e-05,4
iterative_deepening,Urziceni,Craiova,3.4150001738453284e-05,4
greedy_search,Urziceni,Craiova,0.0020180499996058643,4
a_star_search,Urziceni,Craiova,0.0012589100006152876,4
breadth_first_search,Urziceni,Drobeta,2.4750001466600223e-05,5
depth_first_search,Urziceni,Drobeta,9.649998537497595e-06,5
uniform_cost_search,Urziceni,Drobeta,2.4309999571414664e-05,5
iterative_deepening,Urziceni,Drobeta,4.464000012376346e-05,5
greedy_search,Urziceni,Drobeta,0.003513290000410052,5
a_star_search,Urziceni,Drobeta,0.0020895800000289453,5
breadth_first_search,Urziceni,Mehadia,3.8980001409072426e-05,6
depth_first_search,Urziceni,Mehadia,1.4940000255592167e-05,6
uniform_cost_search,Urziceni,Mehadia,3.856999974232167e-05,6
iterative_deepening,Urziceni,Mehadia,8.011999962036498e-05,6
greedy_search,Urziceni,Mehadia,0.0032593000010820105,6
a_star_search,Urziceni,Mehadia,0.0022634000015386846,6
breadth_first_search,Urziceni,Eforie,1.3100000069243834e-05,3
depth_first_search,Urziceni,Eforie,5.26000076206401e-06,3
uniform_cost_search,Urziceni,Eforie,1.0019999172072857e-05,3
iterative_deepening,Urziceni,Eforie,1.1159999121446163e-05,3
greedy_search,Urziceni,Eforie,0.001024609997693915,3
a_star_search,Urziceni,Eforie,0.0009807000009459444,3
breadth_first_search,Urziceni,Zerind,2.5330000789836048e-05,6
depth_first_search,Urziceni,Zerind,1.82100004167296e-05,12
uniform_cost_search,Urziceni,Zerind,3.425999966566451e-05,7
iterative_deepening,Urziceni,Zerind,6.691999951726756e-05,6
greedy_search,Urziceni,Zerind,0.0032169399979466106,6
a_star_search,Urziceni,Zerind,0.0032010700000682847,7
breadth_first_search,Urziceni,Giurgiu,1.205000007757917e-05,3
depth_first_search,Urziceni,Giurgiu,7.050000567687675e-06,3
uniform_cost_search,Urziceni,Giurgiu,2.2009998792782427e-05,3
iterative_deepening,Urziceni,Giurgiu,2.3859998327679933e-05,3
greedy_search,Urziceni,Giurgiu,0.0015549199997622054,3
a_star_search,Urziceni,Giurgiu,0.0011618400014413055,3
breadth_first_search,Urziceni,Iasi,1.71600011526607e-05,3
depth_first_search,Urziceni,Iasi,3.0000010156072676e-06,3
uniform_cost_search,Urziceni,Iasi,1.2849998893216252e-05,3
iterative_deepening,Urziceni,Iasi,1.0360000305809081e-05,3
greedy_search,Urziceni,Iasi,0.0009969099985028152,3
a_star_search,Urziceni,Iasi,0.0009487500006798655,3
breadth_first_search,Urziceni,Oradea,2.035000070463866e-05,5
depth_first_search,Urziceni,Oradea,1.708000199869275e-05,11
uniform_cost_search,Urziceni,Oradea,2.8769998607458547e-05,6
iterative_deepening,Urziceni,Oradea,3.673000101116486e-05,5
greedy_search,Urziceni,Oradea,0.002695659998425981,5
a_star_search,Urziceni,Oradea,0.0025550200007273816,6
breadth_first_search,Urziceni,Sibiu,1.4530001499224454e-05,4
depth_first_search,Urziceni,Sibiu,2.412000103504397e-05,10
uniform_cost_search,Urziceni,Sibiu,1.9320000137668104e-05,5
iterative_deepening,Urziceni,Sibiu,3.660000002128072e-05,4
greedy_search,Urziceni,Sibiu,0.002106100001401501,4
a_star_search,Urziceni,Sibiu,0.0019500800008245278,5
breadth_first_search,Craiova,Drobeta,9.479998698225246e-06,2
depth_first_search,Craiova,Drobeta,2.129998756572604e-06,2
uniform_cost_search,Craiova,Drobeta,3.690001176437363e-06,2
iterative_deepening,Craiova,Drobeta,4.509999416768551e-06,2
greedy_search,Craiova,Drobeta,0.0008292699989397079,2
a_star_search,Craiova,Drobeta,0.0007623099983902649,2
breadth_first_search,Craiova,Mehadia,1.4939997345209122e-05,3
depth_first_search,Craiova,Mehadia,3.1000010494608434e-06,3
uniform_cost_search,Craiova,Mehadia,8.799999341135844e-06,3
iterative_deepening,Craiova,Mehadia,1.0719998681452125e-05,3
greedy_search,Craiova,Mehadia,0.0010994500000379049,3
a_star_search,Craiova,Mehadia,0.0009331200002634432,3
breadth_first_search,Craiova,Eforie,3.522999977576546e-05,6
depth_first_search,Craiova,Eforie,1.3349999790079892e-05,12
uniform_cost_search,Craiova,Eforie,3.178999977535568e-05,6
iterative_deepening,Craiova,Eforie,8.984000087366439e-05,6
greedy_search,Craiova,Eforie,0.0030167199998686555,6
a_star_search,Craiova,Eforie,0.002349389998562401,6
breadth_first_search,Craiova,Zerind,2.7829999453388155e-05,5
depth_first_search,Craiova,Zerind,1.8060000002151355e-05,9
uniform_cost_search,Craiova,Zerind,2.930000118794851e-05,5
iterative_deepening,Craiova,Zerind,8.448000007774681e-05,5
greedy_search,Craiova,Zerind,0.002440890001162188,7
a_star_search,Craiova,Zerind,0.0024081700015813113,5
breadth_first_search,Craiova,Giurgiu,3.406999894650653e-05,4
depth_first_search,Craiova,Giurgiu,1.3529999705497175e-05,10
uniform_cost_search,Craiova,Giurgiu,2.4989999656099825e-05,4
iterative_deepening,Craiova,Giurgiu,3.060999952140264e-05,4
greedy_search,Craiova,Giurgiu,0.001792330000171205,4
a_star_search,Craiova,Giurgiu,0.0016932800004724412,4
breadth_first_search,Craiova,Iasi,3.4479999158065766e-05,6
