Algorithm,City One,City Two,Average Time,Path Length
breadth_first_search,Craiova,Neamt,5.9800000235554764e-05,7 
depth_first_search,Craiova,Neamt,1.0319999455532525e-05,13 
uniform_cost_search,Craiova,Neamt,3.8560000029974616e-05,7 
iterative_deepening,Craiova,Neamt,0.00012568999954964966,7 
greedy_search,Craiova,Neamt,3.761000043596141e-05,0 
a_star_search,Craiova,Neamt,0.00013561999985540752,7 
breadth_first_search,Craiova,Oradea,2.598999999463558e-05,4 
depth_first_search,Craiova,Oradea,2.089000008709263e-05,8 
uniform_cost_search,Craiova,Oradea,2.870999978767941e-05,4 
iterative_deepening,Craiova,Oradea,2.713999983825488e-05,4 
greedy_search,Craiova,Oradea,2.404000006208662e-05,0 
a_star_search,Craiova,Oradea,0.00013794000042253174,4 
breadth_first_search,Craiova,Sibiu,1.4480000572802965e-05,3 
depth_first_search,Craiova,Sibiu,5.980000059935264e-06,7 
uniform_cost_search,Craiova,Sibiu,2.124999955412932e-05,3 
iterative_deepening,Craiova,Sibiu,2.1949999791104347e-05,3 
greedy_search,Craiova,Sibiu,2.2849999913887588e-05,3 
a_star_search,Craiova,Sibiu,3.359000002092216e-05,3 
breadth_first_search,Craiova,Zerind,3.830999976344174e-05,5 
depth_first_search,Craiova,Zerind,1.528000011603581e-05,9 
uniform_cost_search,Craiova,Zerind,3.203999985998962e-05,5 
iterative_deepening,Craiova,Zerind,3.719000014825724e-05,5 
greedy_search,Craiova,Zerind,3.164999980072025e-05,7 
a_star_search,Craiova,Zerind,8.754000009503216e-05,5 
breadth_first_search,Craiova,Mehadia,1.5300000086426735e-05,3 
depth_first_search,Craiova,Mehadia,2.300000414834358e-06,3 
uniform_cost_search,Craiova,Mehadia,6.900000153109432e-06,3 
iterative_deepening,Craiova,Mehadia,8.369999886781442e-06,3 
greedy_search,Craiova,Mehadia,1.4050000027054921e-05,3 
a_star_search,Craiova,Mehadia,3.292000001238193e-05,3 
breadth_first_search,Craiova,Hirsova,2.3260000125446824e-05,5 
depth_first_search,Craiova,Hirsova,1.1819999963336159e-05,11 
uniform_cost_search,Craiova,Hirsova,2.1440000091388355e-05,5 
iterative_deepening,Craiova,Hirsova,4.036999998788815e-05,5 
greedy_search,Craiova,Hirsova,5.488999977387721e-05,5 
a_star_search,Craiova,Hirsova,6.906000016897451e-05,5 
breadth_first_search,Craiova,Iasi,3.246000014769379e-05,6 
depth_first_search,Craiova,Iasi,4.877999981545145e-05,12 
uniform_cost_search,Craiova,Iasi,3.236999982618727e-05,6 
iterative_deepening,Craiova,Iasi,0.00011360999997123145,6 
greedy_search,Craiova,Iasi,3.28799997078022e-05,0 
a_star_search,Craiova,Iasi,0.00010855999989871634,6 
breadth_first_search,Craiova,Urziceni,2.2059999901102854e-05,4 
depth_first_search,Craiova,Urziceni,7.750000077066942e-06,10 
uniform_cost_search,Craiova,Urziceni,1.4889999874867499e-05,4 
iterative_deepening,Craiova,Urziceni,2.427000017632963e-05,4 
greedy_search,Craiova,Urziceni,2.6779999643622432e-05,4 
a_star_search,Craiova,Urziceni,5.158999993000179e-05,4 
breadth_first_search,Craiova,Pitesti,4.520000220509246e-06,2 
depth_first_search,Craiova,Pitesti,1.202000021294225e-05,10 
uniform_cost_search,Craiova,Pitesti,4.70000013592653e-06,2 
iterative_deepening,Craiova,Pitesti,1.289000047108857e-05,2 
greedy_search,Craiova,Pitesti,1.2680000145337544e-05,2 
a_star_search,Craiova,Pitesti,2.2959999660088216e-05,2 
breadth_first_search,Neamt,Oradea,1.7820000357460232e-05,8 
depth_first_search,Neamt,Oradea,1.7150000167021064e-05,14 
uniform_cost_search,Neamt,Oradea,2.8229999225004575e-05,9 
iterative_deepening,Neamt,Oradea,4.319999989093049e-05,8 
greedy_search,Neamt,Oradea,8.459999844490084e-06,0 
a_star_search,Neamt,Oradea,0.0001113600001190207,9 
breadth_first_search,Neamt,Sibiu,1.7889999980980065e-05,7 
depth_first_search,Neamt,Sibiu,2.5550000100338365e-05,13 
uniform_cost_search,Neamt,Sibiu,2.618999988044379e-05,8 
iterative_deepening,Neamt,Sibiu,5.974000014248304e-05,7 
greedy_search,Neamt,Sibiu,4.6909999764466195e-05,7 
a_star_search,Neamt,Sibiu,8.354000001418172e-05,8 
breadth_first_search,Neamt,Zerind,2.1179999930609483e-05,9 
depth_first_search,Neamt,Zerind,2.027000009547919e-05,15 
uniform_cost_search,Neamt,Zerind,2.905000001192093e-05,10 
iterative_deepening,Neamt,Zerind,6.603000001632608e-05,9 
greedy_search,Neamt,Zerind,8.419999903708231e-06,0 
a_star_search,Neamt,Zerind,0.00011096999987785239,10 
breadth_first_search,Neamt,Mehadia,3.015999973285943e-05,9 
depth_first_search,Neamt,Mehadia,8.710000111022964e-06,9 
uniform_cost_search,Neamt,Mehadia,2.4420000045211054e-05,9 
iterative_deepening,Neamt,Mehadia,6.32599998425576e-05,9 
greedy_search,Neamt,Mehadia,4.6320000001287555e-05,9 
a_star_search,Neamt,Mehadia,0.0001174300001366646,9 
breadth_first_search,Neamt,Hirsova,1.636000015423633e-05,5 
depth_first_search,Neamt,Hirsova,3.769999966607429e-06,5 
uniform_cost_search,Neamt,Hirsova,8.66999998834217e-06,5 
iterative_deepening,Neamt,Hirsova,2.607000005809823e-05,5 
greedy_search,Neamt,Hirsova,2.1209999977145345e-05,5 
a_star_search,Neamt,Hirsova,3.891999986080918e-05,5 
breadth_first_search,Neamt,Iasi,2.4799999664537607e-06,2 
depth_first_search,Neamt,Iasi,1.330000304733403e-06,2 
uniform_cost_search,Neamt,Iasi,1.860000156739261e-06,2 
iterative_deepening,Neamt,Iasi,2.7000003683497196e-06,2 
greedy_search,Neamt,Iasi,4.760000228998251e-06,2 
a_star_search,Neamt,Iasi,1.384999995934777e-05,2 
breadth_first_search,Neamt,Urziceni,4.219999937049579e-06,4 
depth_first_search,Neamt,Urziceni,2.8200000087963415e-06,4 
uniform_cost_search,Neamt,Urziceni,4.319999789004214e-06,4 
iterative_deepening,Neamt,Urziceni,1.5290000010281802e-05,4 
greedy_search,Neamt,Urziceni,1.1900000208697747e-05,4 
a_star_search,Neamt,Urziceni,3.455000023677712e-05,4 
breadth_first_search,Neamt,Pitesti,9.860000136541203e-06,6 
depth_first_search,Neamt,Pitesti,6.6999999035033396e-06,6 
uniform_cost_search,Neamt,Pitesti,1.052999959938461e-05,6 
